"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices",
"Fecha"," 821890 "," 821891 "," 821894 "," 821895 "," 821896 "," 821897 "," 821898 "," 821899 "," 821900 "," 821901 "," 821902 "," 821903 "," 821904 "," 821905 "," 821906 "," 821907 ",
"1Q Dic 1990","9.57993695434146","10.4424357325217","10.0484631531824","7.63569428821912","12.4391785451808","10.6581362491305","12.9489645264261","5.44623042897052","10.2239082318308","7.27540421073813","9.36687634555659","7.67839493656008","10.4690897489225","5.48055527884156","4.57984167984801","7.19847553017378",
"2Q Dic 1990","9.69649259043587","10.558949150777","10.1243361609015","7.69650200924848","12.5282446293266","10.8277576207437","13.0907625614426","5.4546196663082","10.4330194522052","7.38759320619006","9.49185479971506","7.81681220671131","10.5832529245168","5.58289232994485","4.57986036977675","7.50281055439184",
"1Q Ene 1991","9.8453753754222","10.7298514868671","10.2412420910359","7.82709965661589","12.6086086593579","11.0687041416205","13.3792786188363","5.56481582888753","10.6681695552857","7.48130919633173","9.64442922118876","7.9711208185537","10.7330348708343","5.62425467426958","4.5798604935671","7.62583072262899",
"2Q Ene 1991","9.92238424840285","10.8312846108384","10.327191685962","7.89762132010379","12.7069790817703","11.188538555881","13.476605763445","5.64859215394635","10.8077813435841","7.50050049487199","9.66555403114354","7.75681104348437","10.9210019076112","5.64199357690646","4.57997700956994","7.67835843307463",
"1Q Feb 1991","10.0223849195121","10.9495863482802","10.4053137583173","7.96420247756135","12.792566065464","11.3592462854338","13.7200793676366","5.67315156929537","10.9588383441911","7.5555673062351","9.67954141330725","7.58362955945122","11.0676564385144","5.73559947898777","4.63666741189653","7.84409722608097",
"2Q Feb 1991","10.0904656329437","11.0292551725777","10.4727683179139","8.01490235918253","12.8769291109007","11.4534422193588","13.8032051717679","5.71155618775503","11.0682456433963","7.5950121763576","9.6779842258378","7.54342830779105","11.0935360525732","5.81325328787094","4.69337104249169","7.96236480965821",
"1Q Mar 1991","10.1735901449802","11.1242796826173","10.5396898585496","8.06633395241201","12.9588805928055","11.5847267414236","14.0163596796498","5.72212602456544","11.1707065545536","7.64822777485313","9.6699802124575","7.51284143164053","11.1016382119222","5.92342387305747","4.75025513138967","8.17698556749357",
"2Q Mar 1991","10.226091909012","11.1817262609237","10.6074623446643","8.12500287773574","13.0317291663381","11.6258835862979","14.065169492361","5.73172418735025","11.2122970410886","7.68761829978624","9.69515545305892","7.5627216443801","11.109025698589","5.97648812546165","4.80715482595799","8.22172892463963",
"1Q Abr 1991","10.2882237970927","11.2547989538703","10.6811992442421","8.17639120393095","13.1301648886968","11.6956800334752","14.2307990943266","5.73172418735025","11.2376894956274","7.72279931893277","9.79945762238195","7.92376883514508","11.0300802661365","5.94894421937626","4.74079709944944","8.27168516318977",
"2Q Abr 1991","10.3251512742202","11.2953218266948","10.7303094604237","8.2082430838712","13.1993829609094","11.72288878059","14.2770410794342","5.76309721222591","11.2540955424169","7.75024066568814","9.84949009687989","8.15682779728006","10.9497295349808","5.95614955608906","4.73373227426642","8.30715582382071",
